Date,Open,High,Low,Close,Adj Close,Volume
4/18/2017,32.030361,32.144215,31.935484,32.106262,26.656963,22293365
4/19/2017,32.115749,32.172676,31.83112,31.888046,26.475788,25204302
4/20/2017,31.907021,32.134724,31.764706,32.011387,26.578196,19339319
4/21/2017,31.91651,32.0019,31.755219,31.91651,26.499422,25552227
4/24/2017,32.23909,32.28653,31.925997,32.011387,26.578196,22438501
4/25/2017,32.087288,32.220116,31.982922,32.030361,26.593952,19756176
4/26/2017,32.125237,32.28653,32.115749,32.115749,26.664845,20884483
4/27/2017,32.220116,32.277039,32.039848,32.125237,26.67272,15633139
4/28/2017,32.144215,32.201138,32.020874,32.182163,26.719982,16842077
5/1/2017,32.153702,32.248577,32.039848,32.049335,26.609703,23910833
5/2/2017,31.859583,31.992411,31.195446,31.888046,26.475788,42965678
5/3/2017,31.764706,31.86907,31.593927,31.755219,26.365509,26155748
5/4/2017,31.726755,31.86907,31.612904,31.736242,26.349747,26897869
5/5/2017,31.726755,31.764706,31.527514,31.764706,26.373383,22999966
5/8/2017,31.688805,31.897533,31.641365,31.736242,26.349747,24781543
5/9/2017,31.736242,31.86907,31.641365,31.669828,26.294611,18028248
5/10/2017,31.309298,31.423149,31.21442,31.337761,26.270748,34829852
5/11/2017,31.29981,31.442125,31.166983,31.347248,26.278702,26421567
5/12/2017,31.204933,31.375711,31.204933,31.318787,26.254839,18589187
5/15/2017,31.280834,31.480076,31.119545,31.423149,26.342327,20530444
5/16/2017,30.891842,31.119545,30.730551,30.92979,25.928738,42437834
5/17/2017,30.92979,30.92979,30.559772,30.578749,25.63446,29931281
5/18/2017,30.550285,30.759012,30.426945,30.56926,25.626507,24874822
5/19/2017,30.645161,30.796965,30.540796,30.796965,25.817394,29885432
5/22/2017,30.834915,30.834915,30.474382,30.474382,25.546972,26725962
5/23/2017,30.474382,30.626186,30.436434,30.493359,25.562878,18517410
5/24/2017,30.521822,30.626186,30.332067,30.40797,25.491295,23576821
5/25/2017,30.417458,30.550285,30.332067,30.512335,25.578785,18227244
5/26/2017,30.531309,30.635674,30.455408,30.493359,25.562878,12330746
5/30/2017,30.417458,30.65465,30.379507,30.483871,25.554924,16913643
5/31/2017,30.626186,31.110058,30.483871,30.97723,25.96851,30585499
6/1/2017,30.996204,31.166983,30.853889,31.034157,26.01623,25184803
6/2/2017,31.091082,31.195446,30.777988,30.872866,25.881023,21984543
6/5/2017,30.844402,30.910816,30.550285,30.6926,25.729902,14994836
6/6/2017,30.645161,30.711575,30.398481,30.426945,25.507198,18831186
